시군구코드,지정년도,지정번호,신청일자,지정일자,취소일자,불가일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분
3200000,,,20170920,,,20171017,소래포구,서울특별시 관악구 봉천로 552, 1층 (봉천동),서울특별시 관악구 봉천동  1627번지 2호  ,3200000-101-2010-00045,일식,,98.00,낙성대동,
3200000,,,20170920,,,20171017,담양죽순추어탕,서울특별시 관악구 남부순환로 2082-37, (남현동),서울특별시 관악구 남현동  1060번지 17호  ,3200000-101-2003-00299,한식,,106.30,남현동,상수도전용
3200000,,,20170920,,,20171017,참이맛감자탕,서울특별시 관악구 신림로 269, 1층 (신림동),서울특별시 관악구 신림동  1634번지 18호  ,3200000-101-1998-07732,한식,,79.05,신원동,상수도전용
3200000,,,20150615,,,20150903,흑룡강성,서울특별시 관악구 쑥고개로 68-1, 1층 (봉천동),서울특별시 관악구 봉천동  1540번지 40호  ,3200000-101-2010-00418,한식,,125.40,청룡동,
3200000,2001,0004,20010630,20010701,20030908,,강강술래 신림본동점,서울특별시 관악구 남부순환로 1660, (신림동),서울특별시 관악구 신림동  10번지 518호  ,3200000-101-2000-10799,한식,소갈비,900.36,서원동,상수도전용
3200000,2007,408 ,20070720,20070727,20080725,,정담은 보쌈,서울특별시 관악구 남부순환로 1661, (봉천동, 지상2,3,4층),서울특별시 관악구 봉천동  959번지 4호  ,3200000-101-2006-00150,한식,삼선자장면,540.68,은천동,상수도전용
3200000,,,20050614,,20141203,,월화고기,서울특별시 관악구 보라매로3길 16, (봉천동),서울특별시 관악구 봉천동  732번지 3호  ,3200000-101-2002-00428,한식,,400.00,보라매동,
3200000,,,20160920,,,20161109,다래성,서울특별시 관악구 은천로 83-1, (봉천동,지상2층),서울특별시 관악구 봉천동  622번지 61호  지상2층,3200000-101-2004-00412,한식,,74.71,은천동,상수도전용
3200000,2018,38  ,20050614,20181109,,,양반,서울특별시 관악구 시흥대로 552-1, 지상1층 (신림동),서울특별시 관악구 신림동  1655번지 23호  ,3200000-101-2001-11597,한식,,24.00,조원동,상수도전용
3200000,,,20010630,,20111212,,숙성원 족발. 보쌈,서울특별시 관악구 남현1길 42, (남현동),서울특별시 관악구 남현동  1062번지 23호  ,3200000-101-1989-00206,한식,,128.92,남현동,상수도전용
3200000,2009,454 ,20090313,20090501,20111024,,바우네나주곰탕 봉천점,서울특별시 관악구 봉천로 309, 1층 (봉천동),서울특별시 관악구 봉천동  963번지 7호  지상1층,3200000-101-1992-07278,한식,매운탕,24.48,보라매동,상수도전용
3200000,2013,532 ,20130709,20131105,20171117,,송탄부대찌개,서울특별시 관악구 봉천로 382-1, 1층 (봉천동),서울특별시 관악구 봉천동  926번지 1호  ,3200000-101-2012-00270,한식,부대찌개,50.98,은천동,상수도전용
3200000,2005,0214,20050614,20050630,20070727,,청국장과보리밥,서울특별시 관악구 관악로24길 80, 1층 (봉천동),서울특별시 관악구 봉천동  19번지 3호  ,3200000-101-1996-06099,한식,삼겹살,61.38,행운동,상수도전용
3200000,,,20110711,,20141203,,돈벼락삼겹살,서울특별시 관악구 난곡로 341, (신림동,지상1층),서울특별시 관악구 신림동  522번지 2호  지상1층,3200000-101-2010-00099,한식,,187.23,조원동,
3200000,,,20010630,,20090923,,(주)참배나무골 ,서울특별시 관악구 남부순환로 2068, 지하1층 (남현동, 르메이에르강남타운1차),서울특별시 관악구 남현동  1059번지 1호  르메이에르강남타운1차,3200000-101-1997-05948,한식,,459.50,남현동,상수도전용
3200000,2001,0007,20010630,20010701,20070725,,고려숯불갈비,서울특별시 관악구 신원로4길 46, 1층 (신림동),서울특별시 관악구 신림동  1635번지 101호  ,3200000-101-1995-06389,한식,돼지갈비,109.85,신원동,상수도전용
3200000,,,20140717,,,20141110,고려숯불갈비,서울특별시 관악구 신원로4길 46, 1층 (신림동),서울특별시 관악구 신림동  1635번지 101호  ,3200000-101-1995-06389,한식,,109.85,신원동,상수도전용
